"","Phenotype","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"k__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__Rhizobiales_f__Methylobacteriaceae_g__","no_IgA",3.07057179736225,-0.0280060628087696,0.0928807277981633,-0.301527167935515,0.76301253639505,0.998644113602911
"g__Agrobacterium","no_IgA",2.05267333061534,0.0898283305689216,0.111456005838289,0.805953253871785,0.420269803348368,0.833788493656742
"g__Acetobacter","no_IgA",1.05880476530117,-0.099654514331711,0.159928506468728,-0.623119145749022,0.533206229125235,0.957477852300154
"g__Sarcandra","no_IgA",1.19590855468979,0.0301244936147191,0.148988144181865,0.202193897911415,0.839765143375944,0.998644113602911
"k__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__Sphingomonadales_f___g__","no_IgA",2.03102043080047,-0.018482250387654,0.113748759608696,-0.162483093892489,0.87092544048838,0.998644113602911
"k__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__Sphingomonadales_f__Sphingomonadaceae_g__","no_IgA",5.27860312300542,-0.318600642373929,0.104993855669155,-3.03446940150354,0.00240959196943446,0.0118353487910457
"g__Novosphingobium","no_IgA",3.21468283152942,-0.0827303686566354,0.0929277524442781,-0.890265464089887,0.373323360695176,0.794458530798602
"g__Sphingobium","no_IgA",12.581289212639,-0.668380875395922,0.124265231132076,-5.37866359968001,7.50407736833598e-08,8.35453947008072e-07
"g__Sphingomonas","no_IgA",5.09435924671638,-0.0038963188606795,0.071903556364482,-0.0541881244500468,0.956785282099871,0.998644113602911
"k__Bacteria_p__Proteobacteria_c__Betaproteobacteria_o__Burkholderiales_f___g__","no_IgA",2.02859133826382,0.00143241249414159,0.113458290870139,0.0126250138544841,0.989926963958135,0.998644113602911
"g__Achromobacter","no_IgA",3.94158322123095,-0.00422688807199844,0.0985211790203196,-0.0429033443776253,0.965778582779307,0.998644113602911
"g__Sutterella","no_IgA",177.725139678888,-0.321301451653068,0.243594861882162,-1.31899929731891,0.187169347385493,0.480881246359651
