"","Variable","Phenotype","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"72","f__Endozoicimonaceae","no_IgA",4.04830141246968,0.0133768778673932,0.0811131226048631,0.164916322264619,0.86900984500078,0.986212678190592
"73","f__Pasteurellaceae","no_IgA",4.23637492592514,0.0638956853069069,0.0789844850729801,0.808965016963376,0.418535268913505,0.83707053782701
"74","f__Moraxellaceae","no_IgA",13.3514099744952,0.00552235024014347,0.0451338992382255,0.122354822724166,0.902618015851797,0.986212678190592
"75","f__Pseudomonadaceae","no_IgA",32.2712262623688,0.0212465329262881,0.0584255616426912,0.36365132536036,0.716118394902722,0.986212678190592
"76","f__Xanthomonadaceae","no_IgA",10.7512593123121,-0.0323979578688042,0.0517539503245815,-0.62599970950268,0.531315131868079,0.968174240292945
"77","f__Brachyspiraceae","no_IgA",2.15168365097877,0.13742432921272,0.109409096892877,1.25605944218032,0.209094419404652,0.489878354033756
"78","f__Anaeroplasmataceae","no_IgA",11.9615445082812,-1.45038162977668,0.208811266374724,-6.94589738838077,3.76062046524872e-12,6.16741756300789e-11
"79","f__Mycoplasmataceae","no_IgA",4.09746506631299,-0.541886097137484,0.141201165258731,-3.83768856400411,0.000124197857540956,0.000727444594168456
"80","k__Bacteria_p__Tenericutes_c__Mollicutes_o__RF39_f__","no_IgA",59.3228278487525,0.497432325144083,0.140074868609365,3.55118894690027,0.000383494997812773,0.00184979940121455
"81","f__F16","no_IgA",6.56739185005594,-0.0546166172404358,0.118878208263107,-0.459433381764602,0.64592298105337,0.986212678190592
"82","f__Verrucomicrobiaceae","no_IgA",124.581274538992,-1.96958464940318,0.272700112280643,-7.22252966062674,5.10292694805144e-13,1.39480003246739e-11
"83","f__Thermaceae","obese",5.59293393541444,0.182754288343072,0.0935477624537302,1.95359336823758,0.0507493255473321,0.117248441781767
"84","f__Corynebacteriaceae","obese",6.41408101195528,-0.457275041600776,0.0964807111951352,-4.7395488272876,2.1419461697087e-06,1.19591994475402e-05
"85","f__Microbacteriaceae","obese",3.06499451547541,0.0212174758063957,0.0832127374264662,0.254978702330821,0.798739548754587,0.90299127956731
"86","f__Micrococcaceae","obese",8.10843523627873,0.0137403257490501,0.0512699653336135,0.267999513158276,0.788699693474644,0.90299127956731
"87","f__Mycobacteriaceae","obese",5.13477016092322,0.0273490353205686,0.0644553906135416,0.424309511745055,0.671340103274232,0.89210582113539
"88","f__Bifidobacteriaceae","obese",75.9218673455144,0.351597678529949,0.161417674529222,2.17818575044766,0.0293922105095077,0.0729362260791488
"89","f__Coriobacteriaceae","obese",130.123429075146,0.903649560327178,0.149542169951123,6.04277415943965,1.51486630914609e-09,9.22691297388985e-09
"90","k__Bacteria_p__Bacteroidetes_c__Bacteroidia_o__Bacteroidales_f__","obese",296.437311964641,-0.0758442265484428,0.223537880806696,-0.3392902638011,0.734391076484482,0.90299127956731
"91","f__[Odoribacteraceae]","obese",177.619649274109,0.310116076529464,0.190251874125672,1.63002902312865,0.103095363096849,0.209314828105724
"92","f__Bacteroidaceae","obese",2019.23538156489,-0.918044249091785,0.132565616805137,-6.92520633341339,4.35340530199618e-12,2.91678155233744e-11
"93","f__Porphyromonadaceae","obese",751.869130280945,-0.535650173492163,0.163358356301669,-3.27898851101925,0.00104179877188428,0.00387780653979148
"94","f__Prevotellaceae","obese",943.606906748983,-6.47588275463982,0.209017144004627,-30.9825434917265,9.26459060666504e-211,6.20727570646558e-209
"95","f__Rikenellaceae","obese",874.300631983125,-0.385056171443672,0.138686371112137,-2.7764528580269,0.00549556039573307,0.0147281018605646
"96","f__S24-7","obese",5511.7016348627,-1.66944541344675,0.123199951107583,-13.5506986686133,7.84795887891064e-42,1.05162648977403e-40
"97","f__[Weeksellaceae]","obese",5.07704022659936,0.00906160416160761,0.064733272683332,0.139983717584247,0.888672855196226,0.933007277981801
"98","f__Sphingobacteriaceae","obese",3.05299739020836,0.0220053639356894,0.0833167654275893,0.264116877590673,0.791689859088364,0.90299127956731
"99","k__Bacteria_p__Cyanobacteria_c__4C0d-2_o__YS2_f__","obese",24.1797549855028,-0.743345918907476,0.0880917940484526,-8.43831059336376,3.21957156307449e-17,2.69639118407489e-16
"100","k__Bacteria_p__Cyanobacteria_c__Chloroplast_o__Streptophyta_f__","obese",5.13005622148551,0.00767431592456011,0.0644087228685868,0.119150257647835,0.905156314459956,0.933007277981801
"101","f__Deferribacteraceae","obese",493.230404318667,0.647263439332834,0.212508233421858,3.04582758470317,0.00232040853829388,0.00740320819360429
"102","f__Bacillaceae","obese",31.7704844567623,0.0688181578813246,0.0383060664807486,1.79653418384554,0.0724096011603728,0.151607602429531
"103","f__Paenibacillaceae","obese",4.08912570313408,-0.0358134452899567,0.0723547293190279,-0.494970344399291,0.620621054087311,0.848604298445915
"104","f__Planococcaceae","obese",19.8539072762356,-0.0688539936241989,0.0368810139013021,-1.86692247150418,0.0619124152745114,0.133810703980396
"105","f__Staphylococcaceae","obese",26.6887740512507,-0.00478516455895407,0.0393619911003326,-0.121568153063112,0.903241036546127,0.933007277981801
"106","k__Bacteria_p__Firmicutes_c__Bacilli_o__Lactobacillales_f__","obese",4.11567428607975,0.0205066336963141,0.0718103106307775,0.285566703669501,0.775210008517246,0.90299127956731
"107","f__Aerococcaceae","obese",7.37351208834527,-0.380358014256117,0.0860055822618519,-4.4224805443219,9.75741381346146e-06,4.66961946787084e-05
"108","f__Enterococcaceae","obese",15.8603890190594,-0.178116242274071,0.0612691886317506,-2.90710953175196,0.00364785443342671,0.0106263585669387
"109","f__Lactobacillaceae","obese",1034.25057714985,1.41341123218584,0.162569606550606,8.69419113557286,3.49309237622847e-18,3.34338841724725e-17
"110","f__Leuconostocaceae","obese",7.15456371667809,-0.375311536270996,0.0841665178659289,-4.45915484906765,8.22834604990797e-06,4.24076296418334e-05
"111","f__Streptococcaceae","obese",23.6480315226406,0.145292082842061,0.0434313037299576,3.34533091029093,0.00082184453430864,0.00323903434109876
"112","f__Turicibacteraceae","obese",26.3663244925186,-4.21149802667015,0.222077315117964,-18.9641072724293,3.37712297246858e-80,7.54224130517982e-79
"113","k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__","obese",6075.02924799367,-0.150083259776545,0.10124236930639,-1.48241552232295,0.1382297662801,0.257260953910187
"114","f__[Mogibacteriaceae]","obese",27.6212362082808,-0.14075310522527,0.0745115087436451,-1.88901161174346,0.0588902728058338,0.131521609266362
"115","f__Christensenellaceae","obese",10.3247229164864,-0.318110607982729,0.097571192508614,-3.26029230353666,0.001112974478163,0.0039246994756274
"116","f__Clostridiaceae","obese",108.743756898878,-0.319321448593647,0.111291871734548,-2.86922525083671,0.00411478647071582,0.0114871122307483
"117","f__Dehalobacteriaceae","obese",69.9450712004142,-0.0935022539300067,0.119458690227478,-0.782716215554982,0.433793777777826,0.64587073580254
"118","f__Eubacteriaceae","obese",3.17095580338988,0.0163318737060093,0.081866224315164,0.199494649260185,0.84187582850789,0.92468328704965
"119","f__Lachnospiraceae","obese",2700.7772394951,-0.336110873146458,0.088847291169125,-3.78301767812657,0.000154938405455069,0.000692058211032643
"120","f__Peptococcaceae","obese",20.7089323191261,0.605844970854703,0.18864133621961,3.21162361863997,0.00131987171748507,0.00442157025357497
"121","f__Peptostreptococcaceae","obese",172.256137140824,0.201004488169565,0.185233279678407,1.08514241349362,0.277858584736894,0.477346799419792
"122","f__Ruminococcaceae","obese",2553.47962075832,0.0980852704763567,0.0973801040721473,1.00724138067964,0.313818791855689,0.521144868158009
"123","f__Veillonellaceae","obese",7.07472151793664,0.00898286982195885,0.0548496188685229,0.163772693543983,0.869910088795855,0.933007277981801
"124","f__Caldicellulosiruptoraceae","obese",3.10355088708779,-0.0333845912115244,0.0829629421626669,-0.402403655671548,0.687386980068597,0.89210582113539
"125","f__Erysipelotrichaceae","obese",2629.84421182948,0.699145671802551,0.190994608418592,3.66055187416743,0.000251672593049211,0.00105387898339357
"126","f__Caulobacteraceae","obese",9.99804666110668,-0.063541458159234,0.0871617548428325,-0.729006182514453,0.465997880641142,0.678736043542533
"127","f__Bradyrhizobiaceae","obese",4.07703799259435,0.0272398563747627,0.0721311930820008,0.377643224947017,0.705695649554861,0.89210582113539
"128","f__Methylobacteriaceae","obese",4.10111641773743,0.019132988187756,0.0720135280905292,0.26568602726565,0.790481025368927,0.90299127956731
