"","OTU_id","Kingdom","Phylum","Class","Order","Family","Genus","Species","Phenotype","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1558","182762","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Ruminococcaceae","g__","s__","NASH",27.9650615241854,0.988824001832956,0.384287814086966,2.57313390012721,0.0100782208125058,0.0246859790688345
"1559","4433274","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacteriales","f__Enterobacteriaceae","g__","s__","NASH",9.35087567770892,6.2582967248877,1.30837963609513,4.78324222743609,1.72490052968906e-06,9.80943431666649e-06
"1560","4375268","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__","s__","NASH",5.87223722346942,0.643929849432544,0.697408739004936,0.923317723765985,0.355841654139304,0.463586537464352
"1561","197989","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__","g__","s__","NASH",0.283217807143575,-1.77338162631026,1.17177365982704,-1.51341653009338,0.130173888769517,0.208661086409962
"1562","3750373","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Lachnospiraceae","g__[Ruminococcus]","s__gnavus","NASH",1.59385979618588,-0.725697632274545,0.306678317738955,-2.3663154200952,0.0179661304838745,0.0406569181192178
"1563","4378740","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotella","s__","NASH",15.1312779655161,-3.37387399794304,0.485207224322481,-6.95347024697365,3.56408147914943e-12,6.13397180885191e-11
"1564","1104817","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__","g__","s__","NASH",0.728722891661396,-0.519954619486116,0.961727091235151,-0.540646742953176,0.588751093112091,0.682700735629978
"1565","173722","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Lachnospiraceae","g__[Ruminococcus]","s__gnavus","NASH",11.2196796012136,0.0214319540634894,0.285077674827644,0.0751793491947307,0.94007201480441,0.960636090128257
"1566","261505","k__Bacteria","p__Firmicutes","c__Erysipelotrichi","o__Erysipelotrichales","f__Erysipelotrichaceae","g__Allobaculum","s__","NASH",3.22345578320177,1.83108631254462,0.330086997753612,5.54728397363717,2.90141301328951e-08,2.43272321883505e-07
"1567","4342104","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Ruminococcaceae","g__Anaerotruncus","s__","NASH",4.59096214002681,-0.00417095376676919,0.498700961231321,-0.00836363691072676,0.993326861035009,0.993326861035009
"1568","2120779","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__","g__","s__","NASH",1.92815163222801,-4.17437247902439,0.755292914856058,-5.52682594648718,3.26076165323997e-08,2.66567265152367e-07
"1569","162639","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__S24-7","g__","s__","NASH",234.338864994292,0.732396998041778,0.218922808735384,3.34545770846125,0.000821468857582439,0.00271333652959048
