sample_id	NASH	HCC	obes	adenomas	T1d
10856.E30L.feces.37w.HFD.CD8kMup.2.2	True	True	False	False	False
10856.E20L.feces.45w.HFD.IgAkCLM.1.6	False	False	True	False	False
10856.FVB.IgAK.Feces.16w.NC.3.32	False	False	False	False	False
10856.Ex3.NoHFD.10.feces.MupHe.12	True	False	False	True	False
10856.E50L.feces.26w.HFD.RagHeMup.2.5	True	False	True	False	False
10856.E17L.feces.42w.HFD.CD4HeMup.3.8	True	True	True	False	False
10856.E51L.Col.Fe.51w.HFD.CD8kMup.1.8	True	True	True	False	False
10856.E26L.feces.50w.NC.IgAK.CLM.1.21	False	False	False	False	False
10856.E18L.feces.23w.NC.IgAkMup.3.27	True	False	False	False	False
10856.E17L.feces.44w.HFD.CD4HeMup.2.5	True	True	True	False	False
10856.E50L.feces.26w.HFD.RagkMup.3.3	True	False	True	False	False
10856.FVB.TGFbRff.Feces.10w.NC.2.36	False	False	False	False	False
10856.E20L.feces.45w.HFD.IgAkCLM.3.9	False	False	True	False	False
10856.E22L.feces.28w.HFD.CD8kMup.2.14	True	False	True	False	False
10856.Ex3.HFD.10.feces.MupHe.4	True	True	True	False	False
10856.E36L.feces.27w.NC.CD8kMup.2.28	True	False	False	False	False
10856.FVB.B.TGFbR.Feces.10w.NC.2.38	False	False	False	False	False
10856.E16L.feces.40w.HFD.CD8k.Mup.2.4	True	True	False	False	False
10856.E24Lb.feces.49w.HFD.CD4HeMup.3.5	True	True	True	False	False
10856.E18L.feces.23w.NC.IgAkMup.4.28	True	False	False	False	False
10856.E50L.feces.25w.HFD.RagkMup.4.7	True	False	True	False	False
10856.E27L.feces.47w.HFD.CD8kMup.2.16	True	True	False	False	False
10856.E23La.feces.51w.aPDL1.HFD.MupHe.2.7	False	True	False	False	False
10856.E50L.feces.26w.HFD.RagkMup.1.1	True	False	True	False	False
10856.E45L.feces.22w.STAM.FVB.WT.3.3	True	True	False	False	False
10856.E22L.feces.26w.HFD.CD8kMup.4.16	True	False	True	False	False
10856.E18L.feces.27w.NC.B6WT.1.30	False	False	False	False	False
10856.E25L.feces.48w.HFD.CD8HeMup.1.14	True	True	True	False	False
10856.E25L.feces.48w.HFD.CD8kMup.10.15	True	True	False	False	False
10856.E32L.feces.30w.HFD.CD8kCLM.4.8	False	False	True	False	False
10856.B6.WT.Feces.8w.NC.2.5	False	False	False	False	False
10856.E14L.feces.39w.HFD.MupHe.2.2	True	True	True	False	False
10856.E47L.feces.20w.STAM.FVB.B.TGFbR.2.17	True	True	False	False	True
